method,oos_auc,fpr@95tpr,created_classes,delay_mode,mean_delay,n_entities,n_triggered,fer_mode,fer,n_create
FixedThresholdExpand,0.7010416666666666,0.6833333333333333,0,domain,-1,1,0,oos_trigger,0.0,0
TACMem,0.9671527777777778,0.10833333333333334,0,domain,-1,1,0,oos_trigger,0.0,0
